submission name,revised name,hits,number of common atoms,number of atoms,smiles,silane smiles,dummy smiles,thio smiles,issue
SAL-INS-1c7-1,SAL-INS-1c7-1_ACR2,"x0734,x1374,x1385,x1392,x1458",24,27,C=CC(=O)N1Cc2cc(C(=O)N(C)C(C)C)ccc2C(c2ccccc2)C1,CC(C)N(C)C(=O)c1ccc2c(c1)CN(C(=O)CC[SiH3])CC2c1ccccc1,*CCC(=O)N1Cc2cc(C(=O)N(C)C(C)C)ccc2C(c2ccccc2)C1,CC(C)N(C)C(=O)c1ccc2c(c1)CN(C(=O)CC[S-])CC2c1ccccc1,
SAL-INS-1c7-10,SAL-INS-1c7-10_ACR2,"x0734,x1374,x1385,x1392,x1458",18,25,C=CC(=O)N(c1ccc(F)cc1Cc1c[nH]cn1)C1C=CS(=O)(=O)C1,O=C(CC[SiH3])N(c1ccc(F)cc1Cc1c[nH]cn1)C1C=CS(=O)(=O)C1,*CCC(=O)N(c1ccc(F)cc1Cc1c[nH]cn1)C1C=CS(=O)(=O)C1,O=C(CC[S-])N(c1ccc(F)cc1Cc1c[nH]cn1)C1C=CS(=O)(=O)C1,
SAL-INS-1c7-11,SAL-INS-1c7-11_ACR2,"x0734,x1374,x1385,x1392,x1458",20,23,C=CC(=O)N1CCN(Cc2ccc(Br)s2)C(c2ccccc2)C1,O=C(CC[SiH3])N1CCN(Cc2ccc(Br)s2)C(c2ccccc2)C1,*CCC(=O)N1CCN(Cc2ccc(Br)s2)C(c2ccccc2)C1,O=C(CC[S-])N1CCN(Cc2ccc(Br)s2)C(c2ccccc2)C1,
SAL-INS-1c7-12,SAL-INS-1c7-12_ACR2,"x0734,x1374,x1385,x1392,x1458",17,22,C=CC(=O)N1CCN(Cc2ccc(Br)s2)C(c2cnc[nH]2)C1,O=C(CC[SiH3])N1CCN(Cc2ccc(Br)s2)C(c2cnc[nH]2)C1,*CCC(=O)N1CCN(Cc2ccc(Br)s2)C(c2cnc[nH]2)C1,O=C(CC[S-])N1CCN(Cc2ccc(Br)s2)C(c2cnc[nH]2)C1,
SAL-INS-1c7-2,SAL-INS-1c7-2_ACR2,"x0734,x1374,x1385,x1392,x1458",26,29,C=CC(=O)N1Cc2cc(C(=O)N(C)c3c[nH]cn3)ccc2C(c2ccccc2)C1,CN(C(=O)c1ccc2c(c1)CN(C(=O)CC[SiH3])CC2c1ccccc1)c1c[nH]cn1,*CCC(=O)N1Cc2cc(C(=O)N(C)c3c[nH]cn3)ccc2C(c2ccccc2)C1,CN(C(=O)c1ccc2c(c1)CN(C(=O)CC[S-])CC2c1ccccc1)c1c[nH]cn1,
SAL-INS-1c7-3,SAL-INS-1c7-3_ACR2,"x0734,x1374,x1385,x1392,x1458",22,26,C=CC(=O)N1Cc2cc(C(=O)N(C)C(C)C)ccc2C(c2c[nH]cn2)C1,CC(C)N(C)C(=O)c1ccc2c(c1)CN(C(=O)CC[SiH3])CC2c1c[nH]cn1,*CCC(=O)N1Cc2cc(C(=O)N(C)C(C)C)ccc2C(c2c[nH]cn2)C1,CC(C)N(C)C(=O)c1ccc2c(c1)CN(C(=O)CC[S-])CC2c1c[nH]cn1,
SAL-INS-1c7-4,SAL-INS-1c7-4_ACR2,"x0734,x1374,x1385,x1392,x1458",22,28,C=CC(=O)N1Cc2cc(C(=O)N(C)c3c[nH]cn3)ccc2C(c2c[nH]cn2)C1,CN(C(=O)c1ccc2c(c1)CN(C(=O)CC[SiH3])CC2c1c[nH]cn1)c1c[nH]cn1,*CCC(=O)N1Cc2cc(C(=O)N(C)c3c[nH]cn3)ccc2C(c2c[nH]cn2)C1,CN(C(=O)c1ccc2c(c1)CN(C(=O)CC[S-])CC2c1c[nH]cn1)c1c[nH]cn1,
SAL-INS-1c7-5,SAL-INS-1c7-5_ACR2,"x0734,x1374,x1385,x1392,x1458",26,27,C=CC(=O)N1Cc2cc3c([N+](=O)[O-])cccc3cc2C(c2ccccc2)C1,O=C(CC[SiH3])N1Cc2cc3c([N+](=O)[O-])cccc3cc2C(c2ccccc2)C1,*CCC(=O)N1Cc2cc3c([N+](=O)[O-])cccc3cc2C(c2ccccc2)C1,O=C(CC[S-])N1Cc2cc3c([N+](=O)[O-])cccc3cc2C(c2ccccc2)C1,
SAL-INS-1c7-6,SAL-INS-1c7-6_ACR2,"x0734,x1374,x1385,x1392,x1458",25,26,C=CC(=O)N1Cc2cc3c([N+](=O)[O-])cccc3cc2C(c2c[nH]cn2)C1,O=C(CC[SiH3])N1Cc2cc3c([N+](=O)[O-])cccc3cc2C(c2c[nH]cn2)C1,*CCC(=O)N1Cc2cc3c([N+](=O)[O-])cccc3cc2C(c2c[nH]cn2)C1,O=C(CC[S-])N1Cc2cc3c([N+](=O)[O-])cccc3cc2C(c2c[nH]cn2)C1,
SAL-INS-1c7-7,SAL-INS-1c7-7_ACR2,"x0734,x1374,x1385,x1392,x1458",20,26,C=CC(=O)N(c1ccc(C)cc1Cc1ccccc1)C1C=CS(=O)(=O)C1,Cc1ccc(N(C(=O)CC[SiH3])C2C=CS(=O)(=O)C2)c(Cc2ccccc2)c1,*CCC(=O)N(c1ccc(C)cc1Cc1ccccc1)C1C=CS(=O)(=O)C1,Cc1ccc(N(C(=O)CC[S-])C2C=CS(=O)(=O)C2)c(Cc2ccccc2)c1,
